source,key,date_added,en,sv,da,de,es,fr,is,it,no,pl,zh
,bulk_invite_placeholder,,"Invite members to the list. Write or paste email(s) here (comma or newline separated)...","Bjud in medlemmar till listan. Skriv eller klistra in e-post här (komma- eller radseparerat)...","Inviter medlemmer til listen. Skriv eller indsæt e-mails her (kommasepareret eller linjeskift)...","Lade Mitglieder zur Liste ein. Schreibe oder füge E-Mails hier ein (durch Kommas oder Zeilenumbrüche getrennt)...","Invita miembros a la lista. Escribe o pega correos aquí (separados por comas o saltos de línea)...","Invitez des membres à la liste. Écrivez ou collez des emails ici (séparés par des virgules ou des retours à la ligne)...","Bjóddu meðlimum í listann og spjallið. Skráðu eða límdu netföng hér (aðskilin með kommum eða línuskilum)...","Invita membri alla lista. Scrivi o incolla email qui (separate da virgole o da nuove righe)...","Inviter medlemmer til listen. Skriv eller lim inn e-post(er) her (kommaseparert eller linjeskift)...","Zaproś członków do listy. Wpisz lub wklej e-maile (oddzielone przecinkami lub nowymi liniami)...",邀请成员加入列表。在此处输入或粘贴电子邮件（用逗号或换行分隔）...
,cancel,,Cancel,Avbryt,Annuller,Abbrechen,Cancelar,Annuler,"Hætta við",Annulla,Avbryt,Anuluj,取消
,close,,Close,Stäng,Luk,Schließen,Cerrar,Fermer,Loka,Chiudi,Lukk,Zamknij,关闭
,collaborate_placeholder,,"I'd like to collaborate...","Jag vill samarbeta...","Jeg vil gerne samarbejde...","Ich würde gern zusammenarbeiten...","Me gustaría colaborar...","J’aimerais collaborer...","Mig langar að vinna með þér...","Mi piacerebbe collaborare...","Jeg ønsker å samarbeide...","Chciałbym współpracować...",我想合作...
,confirm_delete_list,,"🗑️ Delete this list?","🗑️ Ta bort denna lista?","🗑️ Slet denne liste?","🗑️ Diese Liste löschen?","🗑️ ¿Eliminar esta lista?","🗑️ Supprimer cette liste ?","🗑Viltu eyða þessum lista?","🗑️ Eliminare questa lista?","🗑️ Slette denne listen?","🗑️ Usunąć tę listę?","🗑️ 删除此列表？"
,confirm_delete_text,,"🗑️ Delete this text?","🗑️ Ta bort denna text?","🗑️ Slet denne tekst?","🗑️ Diesen Text löschen?","🗑️ ¿Eliminar este texto?","🗑️ Supprimer ce texte ?","🗑️Viltu eyða þessum textm?","🗑️ Eliminare questo testo?","🗑️ Slette denne teksten?","🗑️ Usunąć ten tekst?","🗑️ 删除此文本？"
,create_new_item,,"Create new item","Skapa nytt objekt","Opret nyt element","Neues Element erstellen","Crear elemento nuevo","Créer un nouvel élément","Stofna nýja skrá","Crea nuovo elemento","Opprett nytt element","Utwórz nowy element",新建项目
,create_new_list,,"Create new list","Skapa ny lista","Opret ny liste","Neue Liste erstellen","Crear lista nueva","Créer une nouvelle liste","Stofna nýjan lista","Crea nuova lista","Opprett ny liste","Utwórz nową listę",新建列表
,current_plan,,"Current Plan","Nuvarande plan","Nuværende abonnement","Aktueller Plan","Plan actual","Forfait actuel","Núverandi áskrift","Piano attuale","Nåværende plan","Aktualny plan",当前方案
,delete,,Delete,"Ta bort",Slet,Löschen,Eliminar,Supprimer,Eyða,Elimina,Slett,Usuń,删除
,delete_list,,"Delete list","Ta bort lista","Slet liste","Liste löschen","Eliminar lista","Supprimer la liste","Eyða lista","Elimina lista","Slett liste","Usuń listę",删除列表
,drop_music_here,,"Drop your music here","Släpp din musik här","Slip din musik her","Ziehe deine Musik hierher","Suelta tu música aquí","Déposez votre musique ici","Slepptu tónlistinni hér","Rilascia qui la tua musica","Slipp musikken din her","Upuść swoją muzykę tutaj",将你的音乐拖到这里
,drop_or_choose,,"Drop a PDF anywhere on this page<br>or choose an option below:","Släpp en PDF var som helst på sidan
eller välj ett alternativ nedan:","Slip en PDF hvor som helst på siden<br>eller vælg en mulighed nedenfor:","Lege ein PDF irgendwo auf dieser Seite ab<br>oder wähle eine Option unten:","Suelta un PDF en cualquier parte de esta página<br>o elige una opción abajo","Déposez un PDF n’importe où sur cette page<br>ou choisissez une option ci-dessous :","Slepptu PDF skrá hvar sem er á síðunni<br>eða veldu aðra leið:","Rilascia un PDF in qualsiasi punto di questa pagina<br>oppure scegli un'opzione qui sotto:","Slipp en PDF hvor som helst<br>eller velg et alternativ nedenfor:","Upuść PDF w dowolnym miejscu tej strony<br>lub wybierz opcję poniżej:","在此页面任意位置放置 PDF<br>或选择下面的选项："
,drop_pdf_here,,"📄 Drop PDF, MusicXML, audio, or MIDI here!","📄 Släpp PDF här!","📄 Slip PDF her!","📄 PDF hier ablegen!","📄 ¡Suelta el PDF aquí!","📄 Déposez le PDF ici !","📄 Slepptu PDF skjali hér!","📄 Rilascia il PDF qui!","📄 Slipp PDF her!","📄 Upuść PDF tutaj!","📄 将 PDF 拖到这里！"
,edit,,Edit,Redigera,Rediger,Bearbeiten,Editar,Modifier,Breyta,Modifica,Rediger,Edytuj,编辑
,edit_message_prompt,,"Edit message:","Redigera meddelande:","Rediger besked:","Nachricht bearbeiten:","Editar mensaje","Modifier le message :",,"Modifica messaggio:","Rediger melding:","Edytuj wiadomość:",编辑消息：
,edit_mode,,"Edit mode",Redigeringsläge,Redigeringstilstand,Bearbeitungsmodus,"Modo de edición","Mode édition",Breytingahamur,"Modalità modifica",Redigeringsmodus,"Tryb edycji",编辑模式
,end,,End,Slut,Slut,Ende,Final,Fin,Endir,Fine,Slutt,Koniec,结束
,email,,Email:,E-post:,E-mail:,E-Mail:,Correo,"Email :",Netfang:,Email:,E-post:,E-mail:,电子邮件:
,emoji_by_users,,"${emoji} by: ${users}","${emoji} av: ${users}","${emoji} af: ${users}","${emoji} von: ${users}","${emoji} por ${users}","${emoji} par : ${users}",,"${emoji} di: ${users}","${emoji} av: ${users}","${emoji} przez: ${users}","${emoji} 由：${users}"
,enable_notifications,,"Enable notifications","Aktivera aviseringar","Aktiver underretninger","Benachrichtigungen aktivieren","Activar notificaciones","Activer les notifications","Virkja tilkynningar","Abilita notifiche","Aktiver varsler","Włącz powiadomienia",启用通知
,encryption_error,,"❌ Encryption error. Message not sent.","❌ Krypteringsfel. Meddelandet skickades inte.","❌ Krypteringsfejl. Besked blev ikke sendt.","❌ Verschlüsselungsfehler. Nachricht nicht gesendet.","❌ Error de cifrado. Mensaje no enviado.","❌ Erreur de chiffrement. Message non envoyé.",,"❌ Errore di cifratura. Messaggio non inviato.","❌ Krypteringsfeil. Meldingen ble ikke sendt.","❌ Błąd szyfrowania. Wiadomość nie została wysłana.","❌ 加密错误。消息未发送。"
,extract_text_prompt,,"📝 This item is empty. Extract text from the PDF?","📝 Detta objekt är tomt. Extrahera text från PDF?","📝 Dette element er tomt. Uddrag tekst fra PDF?","📝 Dieses Element ist leer. Text aus dem PDF extrahieren?","📝 Este elemento está vacío. ¿Extraer texto del PDF?","📝 Cet élément est vide. Extraire le texte du PDF ?","📝 Þessi sksrá er tóm. Viltu sækja texta úr PDF skjalinu?","📝 Questo elemento è vuoto. Estrarre il testo dal PDF?","📝 Dette elementet er tomt. Hente tekst fra PDF?","📝 Ten element jest pusty. Wyodrębnić tekst z PDF?","📝 此项目为空。从 PDF 提取文本？"
,failed_to_update_message,,"❌ Failed to update message","❌ Misslyckades med att uppdatera meddelande","❌ Kunne ikke opdatere besked","❌ Nachricht konnte nicht aktualisiert werden","❌ No se pudo actualizar el mensaje","❌ Impossible de mettre à jour le message",,"❌ Impossibile aggiornare il messaggio","❌ Klarte ikke oppdatere melding","❌ Nie udało się zaktualizować wiadomości","❌ 无法更新消息"
,features,,Features,Funktioner,Funktioner,Funktionen,Funciones,Fonctionnalités,Eiginleikar,Funzionalità,Funksjoner,Funkcje,功能
,file_too_large,,"🚫 File too large","🚫 Filen är för stor","🚫 Filen er for stor","🚫 Datei zu groß","🚫 Archivo demasiado grande","🚫 Fichier trop volumineux","🚫 Skráin er of stór","🚫 File troppo grande","🚫 Filen er for stor","🚫 Plik za duży","🚫 文件过大"
,followed_lists,,"Followed lists","Följda listor","Fulgte lister","Gefolgte Listen","Listas seguidas","Listes suivies","Fylgjandi listar","Liste seguite","Fulgte lister","Obserwowane listy",已关注的列表
,friends,,Friends,Vänner,Venner,Freunde,Amigos,Amis,Vinir,Amici,Venner,Znajomi,朋友
,general_chat,2026-03-05,"General chat","Allmän chatt","Generel chat","Allgemeiner Chat","Chat general","Chat général","Almennt spjall","Chat generale","Generell chat","Czat ogólny",通用聊天
,home,,Home,Hem,Hjem,Startseite,Inicio,Accueil,Heim,Home,Hjem,"Strona główna",主页
,home_to,,"Home to:","Hem till:","Hjem til:","Startseite von:","Inicio de","Accueil de :","Heim til:","Home di:","Hjem til:","Strona główna dla:",主页：
,install_app,,"Install App","Installera app","Installer app","App installieren","Instalar aplicación","Installer l’application","Setja upp forrit","Installa app","Installer app","Zainstaluj aplikację",安装应用
,invalid_file_type,,"❌ Invalid file type. Only PDF, MIDI and common audio files are allowed.","❌ Ogiltig filtyp. Endast PDF, MIDI och vanliga ljudfiler är tillåtna.","❌ Ugyldig filtype. Kun PDF, MIDI og almindelige lydfiler er tilladt.","❌ Ungültiger Dateityp. Nur PDF, MIDI und gängige Audio-Dateien sind erlaubt.","❌ Tipo de archivo no válido. Solo se permiten PDF, MIDI y archivos de audio comunes.","❌ Type de fichier invalide. Seuls PDF, MIDI et fichiers audio courants sont autorisés.","❌ Ógild skráartegund. Aðeins PDF, MIDI og algengar hljóðskrár eru leyfðar.","❌ Tipo di file non valido. Sono consentiti solo PDF, MIDI e file audio comuni.","❌ Ugyldig filtype. Kun PDF, MIDI og vanlige lydfiler er tillatt.","❌ Nieprawidłowy typ pliku. Dozwolone PDF, MIDI i popularne pliki audio.","❌ 文件类型无效。仅允许 PDF、MIDI 和常见音频文件。"
,invite_user_to_list,,"Invite User to List","Bjud in användare till lista","Inviter bruger til liste","Benutzer zur Liste einladen","Invitar usuario a la lista","Inviter un utilisateur à la liste","Bjóða notanda í skrá","Invita utente alla lista","Inviter bruker til liste","Zaproś użytkownika do listy",邀请用户到列表
,invited_lists,,"Invited lists","Inbjudna listor","Inviterede lister","Eingeladene Listen","Listas invitadas","Listes invitées",Boðslistar,"Liste invitate","Inviterte lister","Zaproszone listy",受邀列表
,jump_to,,Jump to,Hoppa till,Hop til,Springe zu,Saltar a,Sauter à,Stökkva á,Salta a,Hopp til,Skocz do,跳转到
,language,,Language,Språk,Sprog,Sprache,Idioma,Langue,Tungumál,Lingua,Språk,Język,语言
,link_copied,,"🔗 Link copied","🔗 Länk kopierad","🔗 Link kopieret","🔗 Link kopiert","🔗 Enlace copiado","🔗 Lien copié","🔗 Hlekkur afritaður","🔗 Link copiato","🔗 Lenke kopiert","🔗 Skopiowano link","🔗 链接已复制"
,list_chat,,"List chat",Listchatt,Listechat,Listen-Chat,"Chat de la lista","Chat de liste",Listaspjall,"Chat della lista",Listechat,"Czat listy",列表聊天
,my_groups,2026-03-05,"My groups","Mina grupper","Mine grupper","Meine Gruppen","Mis grupos","Mes groupes","Mínir hópar","I miei gruppi","Mine grupper","Moje grupy",我的群组
,list_empty,,(empty),(tom),(tom),(leer),(vacío),(vide),,(vuoto),(tom),(pusty),(空)
,list_owned_by_other,,"This list is owned by another user. You can request access below.","Denna lista ägs av en annan användare. Du kan begära åtkomst nedan.","Denne liste ejes af en anden bruger. Du kan anmode om adgang nedenfor.","Diese Liste gehört einem anderen Benutzer. Du kannst unten Zugriff anfordern.","Esta lista pertenece a otro usuario. Puedes solicitar acceso abajo.","Cette liste appartient à un autre utilisateur. Vous pouvez demander l’accès ci-dessous.","Þessi listi er í eigu annars notanda. Þú getur beðið um aðgang hér að neðan.","Questa lista è di un altro utente. Puoi richiedere l'accesso qui sotto.","Denne listen eies av en annen bruker. Du kan be om tilgang nedenfor.","Ta lista należy do innego użytkownika. Możesz poprosić o dostęp poniżej.",此列表由其他用户拥有。你可以在下方请求访问。
,lists,,Lists,Listor,Lister,Listen,Listas,Listes,Listar,Liste,Lister,Listy,列表
,lists_by,,"Lists by","Listor av","Lister af","Listen von","Listas por","Listes par",Listar,"Liste di","Lister av","Listy według",列表作者
,loading,,Loading...,Laddar...,Indlæser...,Laden...,Cargando...,Chargement...,Hleð...,Caricamento...,Laster...,Ładowanie...,加载中...
,loading_chat,,"Loading chat...","Laddar chatt...","Indlæser chat...","Chat wird geladen...","Cargando chat...","Chargement du chat...","Hleð spjalli...","Caricamento chat...","Laster chat...","Ładowanie czatu...",正在加载聊天...
,loading_lists,,"Loading lists...","Laddar listor...","Indlæser lister...","Listen werden geladen...","Cargando listas...","Chargement des listes...","Hleð listum...","Caricamento liste...","Laster lister...","Ładowanie list...",正在加载列表...
,loading_members,,"Loading members...","Laddar medlemmar...","Indlæser medlemmer...","Mitglieder werden geladen...","Cargando miembros...","Chargement des membres...","Hleð meðlimum...","Caricamento membri...","Laster medlemmer...","Ładowanie członków...",正在加载成员...
,loading_pdf,,"Loading PDF...","Laddar PDF...","Indlæser PDF...","PDF wird geladen...","Cargando PDF...","Chargement du PDF...","Hleð PDF skrá...","Caricamento PDF...","Laster PDF...","Ładowanie PDF...","正在加载 PDF..."
,loading_users,,"Loading users...","Laddar användare...","Indlæser brugere...","Benutzer werden geladen...","Cargando usuarios...","Chargement des utilisateurs...","Hleð notendum...","Caricamento utenti...","Laster brukere...","Ładowanie użytkowników...",正在加载用户...
,login,,Login,"Logga in","Log ind",Anmelden,"Iniciar sesión",Connexion,Innskrá,Accedi,"Logg inn",Zaloguj,登录
,login_required,,"Login required","Inloggning krävs","Login påkrævet","Anmeldung erforderlich","Se requiere iniciar sesión","Connexion requise","Innskráningar krafist","Accesso richiesto","Innlogging kreves","Wymagane logowanie",需要登录
,logout,,Logout,"Logga ut","Log ud",Abmelden,"Cerrar sesión",Déconnexion,Útskrá,Esci,"Logg ut",Wyloguj,退出登录
,make_offline,,"Make available offline","Gör tillgänglig offline","Gør tilgængelig offline","Für Offline-Verwendung verfügbar machen","Hacer disponible sin conexión","Rendre disponible hors ligne","Nota netlaust","Rendi disponibile offline","Gjør tilgjengelig offline","Ustaw dostęp offline",设为可离线
,manage_list_access,,"Manage List Access","Hantera liståtkomst","Administrer listeadgang","Listen-Zugriff verwalten","Gestionar acceso a la lista","Gérer l’accès à la liste","Stjórna aðgangi að lista","Gestisci accesso alla lista","Administrer listeadgang","Zarządzaj dostępem do listy",管理列表访问
,manage_members,,"Manage Members","Hantera medlemmar","Administrer medlemmer","Mitglieder verwalten","Gestionar miembros","Gérer les membres","Stjórna aðgangi","Gestisci membri","Administrer medlemmer","Zarządzaj członkami",管理成员
,manage_subscription,,"Manage Subscription","Hantera prenumeration","Administrer abonnement","Abonnement verwalten","Administrar suscripción","Gérer l’abonnement","Stjórna áskrift","Gestisci abbonamento","Administrer abonnement","Zarządzaj subskrypcją",管理订阅
,members,,Members,Medlemmar,Medlemmer,Mitglieder,Miembros,Membres,Meðlimir,Membri,Medlemmer,Członkowie,成员
,message_optional,,"Message (optional):","Meddelande (valfritt):","Besked (valgfrit):","Nachricht (optional):","Mensaje (opcional)","Message (optionnel) :","Skilaboð (valfrjálst):","Messaggio (opzionale):","Melding (valgfritt):","Wiadomość (opcjonalnie):",消息（可选）:
,missing_item_metadata,,"Missing item metadata.","Saknad metadata för objekt.","Manglende metadata for element.","Element-Metadaten fehlen.","Faltan metadatos del elemento.","Métadonnées manquantes pour l’élément.","Vantar meta-gögn fyrir skrá","Metadati dell'elemento mancanti.","Manglende metadata for element.","Brak metadanych elementu.",缺少项目元数据。
,my_profile,,"My Profile","Min profil","Min profil","Mein Profil","Mi perfil","Mon profil","Mínar stillingar","Il mio profilo","Min profil","Mój profil",我的个人资料
,my_settings,,"My Settings","Mina inställningar","Mine indstillinger","Meine Einstellungen","Mis ajustes","Mes paramètres","Mínar stillingar","Le mie impostazioni","Mine innstillinger","Moje ustawienia",我的设置
,new_item_placeholder,,"New item...","Nytt objekt...","Nyt element...","Neues Element...","Elemento nuevo...","Nouvel élément...","Ný skrá...","Nuovo elemento...","Nytt element...","Nowy element...",新项目...
,new_list,,"New list...","Ny lista...","Ny liste...","Neue Liste...","Lista nueva...","Nouvelle liste...","Nýr listi...","Nuova lista...","Ny liste...","Nowa lista...",新列表...
,next_billing_date,,"Next billing date","Nästa faktureringsdatum","Næste faktureringsdato","Nächstes Abrechnungsdatum","Próxima fecha de cobro","Prochaine date de facturation","Næsti gjalddagi","Prossima data di fatturazione","Neste fakturadato","Następna data rozliczenia",下次账单日期
,no,,No,Nej,Nej,Nein,No,Non,Nei,No,Nei,Nie,否
,no_list_token,,"No list token provided.","Ingen listtoken angiven.","Ingen listetoken angivet.","Kein Listen-Token angegeben.","No se proporcionó token de lista.","Aucun jeton de liste fourni.",,"Nessun token della lista fornito.","Ingen listetoken oppgitt.","Nie podano tokena listy.",未提供列表令牌。
,no_pdf_found,,"No PDF found.","Ingen PDF hittades.","Ingen PDF fundet.","Kein PDF gefunden.","No se encontró PDF.","Aucun PDF trouvé.","Engin PDF skrá fannst","Nessun PDF trovato.","Ingen PDF funnet.","Nie znaleziono PDF.","未找到 PDF。"
,no_such_user_or_list,,"No such user or list","Ingen sådan användare eller lista","Ingen sådan bruger eller liste","Kein solcher Benutzer oder Liste","No existe ese usuario o lista","Aucun utilisateur ou liste trouvé",,"Nessun utente o lista trovati","Ingen slik bruker eller liste","Nie ma takiego użytkownika ani listy",没有该用户或列表
,no_text_found_pdf,,"🎼 This PDF appears to be musical notation — no readable text extracted.","🎼 Denna PDF verkar vara noter — ingen läsbar text extraherad.","🎼 Denne PDF ser ud til at være nodeskrift — ingen læsbar tekst fundet.","🎼 Dieses PDF scheint Notenschrift zu sein — kein lesbarer Text extrahiert.","🎼 Este PDF parece ser notación musical - no se extrajo texto legible.","🎼 Ce PDF semble être une partition musicale — aucun texte lisible trouvé.","🎼 Þetta PDF skjal virðist innihalda nótnaskrift — enginn texti fannst.","🎼 Questo PDF sembra essere notazione musicale — nessun testo leggibile estratto.","🎼 Denne PDF-en ser ut til å være noter — ingen lesbar tekst funnet.","🎼 Ten PDF wygląda na zapis nutowy — brak czytelnego tekstu.","🎼 此 PDF 似乎是乐谱 — 未提取到可读文本。"
,notifications,,Notifications,Aviseringar,Underretninger,Benachrichtigungen,Notificaciones,Notifications,Tilkynningar,Notifiche,Varsler,Powiadomienia,通知
,offline_access,,"Offline access",Offlineåtkomst,Offlineadgang,Offline-Zugriff,"Acceso sin conexión","Accès hors ligne","Netlaus aðgangur","Accesso offline","Tilgang uten nett","Dostęp offline",离线访问
,offline_removed,,"Cache removed","Cache borttagen","Cache fjernet","Cache entfernt","Caché eliminado","Cache supprimé",,"Cache rimossa","Mellomlager fjernet","Pamięć podręczna usunięta",缓存已移除
,offline_unavailable,,"Not available offline","Inte tillgänglig offline","Ikke tilgængelig offline","Offline nicht verfügbar","No disponible sin conexión","Indisponible hors ligne","Ekki mögulegt netlaust","Non disponibile offline","Ikke tilgjengelig offline","Niedostępne offline",离线不可用
,open_billing_portal,,"Open Stripe Billing Portal","Öppna Stripe faktureringsportal","Åbn Stripe betalingsportal","Stripe-Abrechnungsportal öffnen","Abrir portal de facturación de Stripe","Ouvrir le portail Stripe","Opna Stripe greiðsluviðmót","Apri il portale di fatturazione Stripe","Åpne Stripe betalingsportal","Otwórz portal rozliczeń Stripe","打开 Stripe 结算门户"
,or,,or,eller,eller,oder,o,ou,eða,o,eller,lub,或
,owner_not_found_pdf,,"Owner not found for PDF fetch","Ägare hittades inte för PDF","Ejer ikke fundet for PDF-hentning","Eigentümer für PDF-Abruf nicht gefunden","No se encontró propietario para obtener el PDF","Propriétaire introuvable pour récupérer le PDF","Eigandi fannst ekki fyrir PDF niðurhal","Proprietario non trovato per recuperare il PDF","Eier ikke funnet for PDF","Nie znaleziono właściciela PDF","未找到用于获取 PDF 的所有者"
,paste_music_url,,"or paste any audio, MIDI, Spotify or Soundslice URL...","eller klistra in en ljud-, MIDI-, Spotify- eller Soundslice-URL...","eller indsæt en lyd-, MIDI-, Spotify- eller Soundslice-URL...","oder eine beliebige Audio-, MIDI-, Spotify- oder Soundslice-URL einfügen...","o pega cualquier URL de audio, MIDI, Spotify o Soundslice...","ou collez n’importe quelle URL audio, MIDI, Spotify ou Soundslice...","eða límdu slóð á hljóð, MIDI, Spotify eða Soundslice...","oppure incolla un URL audio, MIDI, Spotify o Soundslice...","eller lim inn en lyd-, MIDI-, Spotify- eller Soundslice-URL...","lub wklej dowolny adres URL audio, MIDI, Spotify lub Soundslice...","或粘贴任意音频、MIDI、Spotify 或 Soundslice 的 URL..."
,paste_pdf_url,,"Paste direct PDF URL","Klistra in direkt PDF-URL","Indsæt direkte PDF-URL","Direkte PDF-URL einfügen","Pegar URL directa del PDF","Coller l’URL directe du PDF","Líma inn beina slóð á PDF","Incolla URL diretto del PDF","Lim inn direkte PDF-URL","Wklej bezpośredni adres URL PDF","粘贴 PDF 直接链接"
,pdf_upload_failed_url,,"❌ Could not upload the PDF from this URL.","❌ Kunde inte ladda upp PDF från denna URL.","❌ Kunne ikke uploade PDF fra denne URL.","❌ PDF konnte von dieser URL nicht hochgeladen werden.","❌ No se pudo subir el PDF desde esta URL.","❌ Échec du téléversement du PDF depuis cette URL.","❌ Ekki tókst að hlaða upp PDF skskjali frá þessari slóð.","❌ Impossibile caricare il PDF da questo URL.","❌ Kunne ikke laste opp PDF fra denne URL-en.","❌ Nie udało się przesłać PDF z tego URL.","❌ 无法从该 URL 上传 PDF。"
,plan,,Plan,Plan,Abonnement,Plan,Plan,Forfait,Áskrift,Piano,Plan,Plan,方案
,play_sound,,"Play sound for alerts","Spela ljud för aviseringar","Afspil lyd ved alarmer","Warnton für Hinweise abspielen","Reproducir sonido para alertas","Jouer un son pour les alertes","Spila hljóð við viðvaranir","Riproduci suono per gli avvisi","Spill lyd for varsler","Odtwarzaj dźwięk dla alertów",播放警报声音
,preferences,,Preferences,Inställningar,Præferencer,Voreinstellungen,Preferencias,Préférences,Valkostir,Preferenze,Preferanser,Preferencje,偏好设置
,price,,Price,Pris,Pris,Preis,Precio,Prix,Verð,Prezzo,Pris,Cena,价格
,pricing,,Pricing,Prissättning,Priser,Preise,Precios,Tarifs,Verð,Prezzi,Priser,Cennik,价格
,privacy_private,,Private,Privat,Privat,Privat,Privada,Privée,Læstur,Privata,Privat,Prywatna,私密
,privacy_public,,Public,Offentlig,Offentlig,Öffentlich,Pública,Publique,Opinn,Pubblica,Offentlig,Publiczna,公开
,privacy_secret,,Hidden,Döljd,Skjult,Verborgen,Oculta,Cachée,Falinn,Nascosta,Skjult,Ukryta,隐藏
,privacy_unknown,,Unknown,Okänd,Ukendt,Unbekannt,Desconocida,Inconnue,Óþekkt,Sconosciuta,Ukjent,Nieznana,未知
,reload_pdf,,"Reload PDF & drawings","Ladda om PDF och ritningar","Genindlæs PDF & tegninger","PDF & Zeichnungen neu laden","Recargar PDF y dibujos","Recharger PDF & dessins","Endurhlaða PDF & teikningar","Ricarica PDF e disegni","Last inn PDF og tegninger på nytt","Przeładuj PDF i rysunki","重新加载 PDF 和绘图"
,remove_emoji_prompt,,"Remove your ${emoji}?","Ta bort din ${emoji}?","Fjern din ${emoji}?","Deinen ${emoji} entfernen?","¿Quitar tu ${emoji}?","Retirer votre ${emoji} ?",,"Rimuovere il tuo ${emoji}?","Fjern din ${emoji}?","Usunąć swój ${emoji}?","移除你的 ${emoji}？"
,remove_from_list,,"Remove from list","Ta bort från lista","Fjern fra liste","Aus Liste entfernen","Quitar de la lista","Retirer de la liste","Fjarlægja úr lista","Rimuovi dalla lista","Fjern fra liste","Usuń z listy",从列表中移除
,remove_from_my_lists,,"Remove from my lists","Ta bort från mina listor","Fjern fra mine lister","Aus meinen Listen entfernen","Quitar de mis listas","Retirer de mes listes","Fjarlægja úr mínum listum","Rimuovi dalle mie liste","Fjern fra mine lister","Usuń z moich list",从我的列表中移除
,remove_item,,"Remove item from list","Ta bort objekt från lista","Fjern element fra liste","Element von der Liste entfernen","Quitar elemento de la lista","Retirer l’élément de la liste","Fjarlægja skrá af lista","Rimuovi elemento dalla lista","Fjern element fra liste","Usuń element z listy",从列表中移除项目
,remove_offline,,"Remove from offline","Ta bort från offline","Fjern fra offline","Aus Offline entfernen","Quitar del modo sin conexión","Retirer du mode hors ligne","Fjarlægja úr netlausu","Rimuovi dall'offline","Fjern fra offline","Usuń z trybu offline",从离线中移除
